date,operator_id,line_id,stop_id,validations
20230101,43,3717,020072,38
20230101,41,1709,030807,19
20230101,41,1510,170927,19
20230101,43,3512,140093,2
20230101,41,1706,060443,2
20230101,43,3012,020340,2
20230101,44,4203,100081,3
20230101,43,3012,020338,5
20230101,43,3715,020681,5
20230101,41,1120,120768,4
20230101,43,3506,020115,3
20230101,43,3003,020112,2
20230101,42,2523,110652,26
20230101,41,1716,171091,2
20230101,44,4421,160067,5
20230101,43,3203,150198,1
20230101,41,1504,120081,25
20230101,43,3111,140271,4
20230101,42,2750,070029,1
20230101,42,2842,180068,1
20230101,41,1706,030398,8
20230101,41,1721,170931,5
20230101,41,1704,030580,1
20230101,42,2736,071377,2
20230101,43,3119,140299,3
20230101,43,3022,020655,4
20230101,43,3508,140068,2
20230101,41,1514,030606,3
20230101,43,3030,020337,2
20230101,41,1514,030345,1
20230101,41,1631,050185,3
20230101,41,1709,172129,7
20230101,43,3009,020291,3
20230101,41,1101,120001,3
20230101,43,3003,020091,4
20230101,43,3502,020701,4
20230101,41,1706,060441,1
20230101,41,1510,030111,2
20230101,43,3013,020518,2
20230101,44,4501,010097,1
20230101,43,3013,020041,8
20230101,42,2842,180099,3
20230101,41,1003,030151,1
20230101,43,3717,020499,10
20230101,41,1518,170881,3
20230101,41,1245,170025,1
20230101,42,2780,110675,4
20230101,41,1623,171879,1
20230101,42,2812,110215,1
20230101,42,2328,180575,1
20230101,43,3108,140522,1
20230101,41,1011,030387,1
20230101,43,3004,020088,3
20230101,41,1634,170328,1
20230101,41,1103,120062,4
20230101,41,1615,170057,3
20230101,44,4600,100093,2
20230101,42,2751,081109,1
20230101,43,3717,020687,6
20230101,41,1625,050201,3
20230101,44,4412,160055,2
20230101,43,3012,020332,4
20230101,43,3536,150066,1
20230101,44,4600,100161,1
20230101,42,2317,180500,2
20230101,42,2730,071313,1
20230101,42,2725,070479,2
20230101,42,2729,070515,2
20230101,41,1601,120815,2
20230101,41,1601,120771,4
20230101,43,3620,150003,2
20230101,44,4440,160141,2
20230101,41,1633,172364,1
20230101,43,3502,140644,2
20230101,43,3549,150067,1
20230101,42,2736,060297,1
20230101,42,2538,180470,1
20230101,42,2708,071315,77
20230101,44,4600,090189,9
20230101,44,4440,160031,1
20230101,43,3506,020113,47
20230101,42,2513,110643,3
20230101,42,2769,110621,34
