date,operator_id,line_id,stop_id,validations
20230103,42,2730,071284,14
20230103,43,3201,150153,27
20230103,43,3114,140586,19
20230103,43,3526,140595,18
20230103,43,3508,140050,13
20230103,42,2764,110622,28
20230103,41,1522,120376,32
20230103,42,2728,071459,62
20230103,41,1510,030847,98
20230103,42,2711,060246,44
20230103,41,1722,120029,3
20230103,42,2812,110094,29
20230103,43,3547,140561,5
20230103,43,3508,140023,128
20230103,44,4600,090194,5
20230103,43,3507,020256,12
20230103,41,1120,120771,72
20230103,42,2780,110691,4
20230103,43,3215,150136,2
20230103,43,3024,020709,19
20230103,42,2823,110707,5
20230103,42,2823,110443,5
20230103,41,1717,030605,109
20230103,43,3721,150051,180
20230103,44,4632,160786,13
20230103,43,3119,140218,9
20230103,43,3012,020341,58
20230103,41,1523,121114,9
20230103,42,2729,071439,33
20230103,43,3121,140057,4
20230103,43,3507,020323,2
20230103,41,1503,120037,6
20230103,42,2772,070321,68
20230103,43,3717,060403,14
20230103,41,1632,171541,3
20230103,43,3101,140163,24
20230103,41,1236,170867,5
20230103,43,3105,140416,35
20230103,42,2026,070476,5
20230103,43,3121,140256,8
20230103,41,1720,030710,15
20230103,44,4512,130456,19
20230103,41,1709,110035,16
20230103,42,2791,180609,34
20230103,41,1245,170024,15
20230103,43,3507,140626,7
20230103,43,3506,140709,45
20230103,43,3514,140362,31
20230103,41,1603,171571,5
20230103,41,1717,030300,21
20230103,43,3114,140113,25
20230103,44,4406,160177,19
20230103,42,2713,070625,42
20230103,41,1502,121047,20
20230103,41,1101,120103,19
20230103,43,3626,150018,16
20230103,42,2750,110622,11
20230103,42,2525,070035,5
20230103,44,4441,160105,121
20230103,42,2794,071625,4
20230103,42,2505,080272,2
20230103,42,2736,070119,12
20230103,42,2740,080282,76
20230103,41,1625,171136,4
20230103,43,3106,140027,32
20230103,43,3120,140240,2
20230103,44,4203,100056,16
20230103,41,1511,030846,79
20230103,41,1519,030600,14
20230103,43,3009,021005,4
20230103,43,3547,140793,2
20230103,43,3716,020087,96
20230103,42,2518,110623,7
20230103,42,2774,060303,129
20230103,42,2730,070727,20
20230103,41,1232,170065,53
20230103,43,3110,140035,4
20230103,43,3204,150182,1
20230103,44,4409,160240,2
20230103,42,2328,180710,26
20230103,41,1254,171457,9
20230103,43,3518,140357,2
20230103,41,1205,170204,36
20230103,41,1614,121270,79
20230103,42,2725,070512,9
20230103,43,3620,150589,88
20230103,43,3022,020254,30
20230103,41,1117,120700,5
20230103,42,2781,110324,53
20230103,41,1209,170476,45
20230103,41,1721,170907,70
20230103,43,3508,020495,7
20230103,42,2601,110447,3
20230103,44,4523,100354,2
20230103,41,1508,030603,13
20230103,41,1213,170449,19
20230103,43,3508,140113,68
20230103,42,2812,110059,13
20230103,42,2303,180143,8
20230103,43,3508,140049,53
20230103,43,3023,020696,18
20230103,43,3013,020945,13
20230103,43,3009,020255,78
20230103,42,2842,180099,1
20230103,41,1103,120297,4
20230103,42,2778,110621,16
20230103,41,1707,030613,16
20230103,43,3207,150078,4
20230103,43,3108,140515,35
20230103,44,4703,010009,59
20230103,41,1715,170559,21
20230103,43,3103,140321,35
20230103,44,4600,010079,62
20230103,41,1522,120374,1
20230103,41,1212,170538,32
20230103,42,2307,180093,3
20230103,41,1512,170593,6
20230103,43,3525,020961,4
20230103,43,3012,020357,31
20230103,42,2328,180620,16
20230103,43,3508,020683,40
20230103,43,3021,020539,30
20230103,41,1522,120353,14
20230103,42,2728,071316,11
20230103,43,3017,020595,9
20230103,42,2726,070700,5
20230103,41,1502,120159,55
20230103,41,1117,120605,27
20230103,41,1633,080031,1
20230103,42,2728,070832,40
20230103,41,1510,030462,14
20230103,41,1514,030397,1
20230103,41,1234,171162,7
20230103,42,2831,110693,6
20230103,41,1720,171097,7
20230103,42,2202,110102,29
20230103,43,3704,020351,5
20230103,41,1209,170457,32
20230103,41,1245,171520,3
20230103,42,2797,180487,12
20230103,41,1502,120473,17
20230103,44,4412,160055,1
20230103,42,2317,180475,1
20230103,43,3709,060405,62
20230103,42,2209,110281,2
20230103,44,4620,090190,1
20230103,41,1613,172221,1
20230103,41,1614,170129,6
20230103,43,3549,150066,13
20230103,41,1716,170591,7
20230103,43,3514,020499,26
20230103,43,3022,020275,56
20230103,41,1601,120921,18
20230103,43,3506,020107,9
